" There are a small handful of cheap places to stay in Agumbe,"	
 I've been here a week and the last couple of days I've taken to staying in my air conditioned hotel room between roughly 11 am and 6 pm while catching up on the New England Patriots productive off season and the Celtics futility against the eminently beatable New York Knicks for which I was not about to wake up at 4:00 am local time to watch live on the internet.	1
 The rooftop pool is small comfort from the heat.	1
 Ook als mensen geen kaartje hebben weten te bemachtigen en nog op de zogenaamde “waiting list” staan.	1
 Zelfs de pre-paid rickshaws waren niet te vertrouwen volgens de man van de pre-paid taxi standplaats.	1
" erg efficiënt ;-) Het slapen in de tempel was een bijzondere ervaring,"	1
Vanwege onze ervaring met de vorige lange treinrit naar Varanasi en de hoge temperaturen besloten we onszelf een upgrade te geven in de treinklasse en voor “2AC” te gaan met airco.	1
 Hindus believe that dying in Varanasi and being burned on the banks of the sacred river will allow your soul to exit the constant cycle of reincarnation.	1
 The gathering was being held in February and March because it was the only time when the river bed would be dry allowing enough space for the millions of visitors.	0
 newspaper and some matches and the fire was going well enough to put the tea kettle on the fire.	1
 I waited for a while for the American to return with firewood and explained what had happened.	0
 shared it around and he invited us to stay for food.	1
 Afterwards we returned to Rainbow Camp disappointed but with a good story.	1
I stayed on the dusty riverbed for 22 days and left just as a huge storm blew up and caused massive havoc which I was told destroyed the Rainbow Camp.	1
 Hopefully by that time I can speak enough Hindi to be able to communicate with all of the babas and all of the locals.	1
" and we were in no way prepared for the walk from our taxi tuk tuk drop-off point,"	1
 take us to our hotel doors because the streets to the hotel were too narrow for tuk-tuks to go through.	1
"The next day we had the pleasure of being guided in a small group of four by our very excellent hotel tour guide and host,"	1
 allowed us insights into this city that we would never have gotten on our own.	0
 and I was a little disappointed we did not have the time to stop at this elegant shop filled with an array of beautiful long black dresses designed for Muslim women.	1
 This one is being converted to a luxury hotel.	1
to have Mannu arrange for us another personalized shopping experience with a fourth generation silk merchant and world-scale wholesaler.	1
" It was reminiscent of our delightful shopping experience in Kashmir,"	1
" I became very ill at some point during our four day stay in Varanasi,"	1
 as well as food and beverages suggested by the caring hotel staff.	1
" When we left the hotel to catch our train later that evening,"	1
" our hotel had arranged porters for us right to the train platform,"	1
" the worst had come and passed waiting at the train station in Varanasi,"	0
" so I managed to sleep through the overnight train,"	1
" the two hour taxi ride to the Nepali border,"	0
" and the five hour taxi ride to our destination in Pokhara,"	1
"The prepaid taxi fare from the airport is Rs 300 & the driver is on a mission to get us to the Lucknow Homestay (LH) in double quick time,"	1
 The rooms are basic but homely and comfortable (despite one of the temporary beds collapsing the first night!	1
 We take a cycle rickshaw to Hazaratganj– the main shopping and eating area.	1
"place where the guy trys to charge Rs 120,"	0
 Next was Melissa (also intense) an American woman from Oregon who had spent 6 weeks with an NGO reviewing the issue of domestic violence in Lucknow.	0
 We are not sure from what she said that she added any value to the information that was already available.	1
 One got more information from the Guests about how things worked than her.	1
 We enjoyed our stay here – but it will not be everyone’s cup of tea.	1
 M negotiates a large auto rickshaw to Orchha (Rs 200 rather than the Rs 600 the hotel had offered for a pick up).	0
The roads are pretty good and we get to the Fort View Hotel at 8-00pm.	1
"The room is pretty basic – although with a TV which is a surprise,"	1
 Many places are closing and the LP recommendation is empty and charges way over the odds for beer.	1
 This is not to suggest that there aren’t the needy and one can see quite a few examples of them – but oddly enough they are not aggressive at all.	1
 so rather than kill time in the heat; we keep the room for the day (at a cost).	1
 retreat to the room to catch up with some admin.	1
We get to the Namaskar Hotel in Karol Bagh where we stayed when we first arrived in India.	1
" a new beer & wine shop nearby,"	1
 We manage to get a rickshaw at slightly a higher rate (but worth it) at 5.	1
son of the Colonel who owns the guesthouse where we are staying – Shahar Palace.	1
 The festival is in the grounds of Rambagh Palace and as we sit there waiting for the start Rosie gets a call to say the Elephant Festival has been cancelled following a petition!	0
" we head to the beer shop for a couple of beers,"	1
 Fateh then goes off to a Heritage Hotel where his friend has laid on a bash Rs 3000 per head – only Ekta goes with him.	1
We skype with Sarah about her flat issues (Services Charges issue) and she takes a picture of us all coloured up and puts it on Facebook.	1
" Arun at Hotel Namaskar arranges a cab for Rs400 and we get to the airport T3 at 10 am,"	1
For Spring break I was going to stay in Sikkim with Nicole.	1
" ate breakfast on our hotel's rooftop (where we caught our last glimpse of the Taj),"	1
" we waited in a dilapidated old bus for almost an hour before it finally departed for the ancient city of Fatehpur Sikri,"	1
